can	罐頭	罐头
external organ	外部器官	外部器官
hudson river	哈德遜河	哈德逊河
portal system	門靜脈系統	门静脉系统
round arch	半圓拱	半圆拱
heat lamp	熱燈	热灯
recall dose	召回劑量	召回剂量
fig-bird	無花果鳥	无花果鸟
seed leaf	子葉	子叶
vitamin e	維生素E	维生素E
bubble chamber	氣泡室	气泡室
white admiral	白蛺蝶	白蛱蝶
bone ash	骨灰	骨灰
swimming costume	游泳衣	游泳衣
telegraph line	電報線路	电报线路
thermal spring	溫泉	温泉
italian bee	義大利蜜蜂	意大利蜜蜂
drill hole	鑽孔	钻孔
riding crop	一端有帶圈可握的短馬鞭	一端有带圈可握的短马鞭
tie beam	系梁	系梁
egyptian grass	埃及草	埃及草
lower cannon	下炮	下炮
wine bucket	酒桶	酒桶
love-lies-bleeding	(莧科)千穗谷	(苋科)千穗谷
egyptian paper rush	埃及紙浪潮	埃及纸浪潮
football helmet	橄欖球頭盔	橄榄球头盔
tie rod	橫拉桿	横拉杆
grocery bag	食品雜貸袋	食品杂贷袋
virginia pine	弗吉尼亞松（植物）	弗吉尼亚松（植物）
voting booth	投票室	投票室
dog mercury	多年生山靛	多年生山靛
brush wolf	刷狼	刷狼
drop cloth		
coat-of-mail shell	郵件外殼	邮件外壳
cargo deck	載貨甲板	载货甲板
knife blade	刀片	刀片
war admiral	戰將	战将
liquid body substance	液體物質	液体物质
diesel engine	柴油機	柴油机
bird cherry tree	鳥櫻花樹	鸟樱花树
telegraph post	電線杆	电线杆
european olive tree	歐洲橄欖樹	欧洲橄榄树
table-tennis bat	乒乓球拍	乒乓球拍
bronze medal	銅（質）獎章	铜（质）奖章
machine bolt	機螺栓	机螺栓
jerusalem cricket	【昆蟲】耶路撒冷蟋螽 (Stenopelmatus fuscus )[亦作 sand cricket]	【昆虫】耶路撒冷蟋螽 (Stenopelmatus fuscus )[亦作 sand cricket]
cleaning implement	清潔工具	清洁工具
japanese table pine	日本桌松	日本桌松
liquid crystal display	液晶顯示器	液晶显示器
ticket booth	售票處	售票处
sand rat	沙鼠類	沙鼠类
magnetic tape	磁帶	磁带
bailey bridge	活動便橋	活动便桥
purple emperor	閃紫蝶	闪紫蝶
rope bridge	索橋	索桥
common wheat	普通小麥	普通小麦
clothes basket	放待洗衣物的籃	放待洗衣物的篮
canadian red pine	多脂松	多脂松
electric blanket	電毯	电毯
sea anchor	海錨	海锚
spy satellite	間諜衛星	间谍卫星
wooden shoe	木鞋	木鞋
metal filing	金屬屑	金属屑
artificial satellite	人造衛星	人造卫星
engine cooling system	發動機冷卻系統	发动机冷却系统
sketch block	寫生簿	写生簿
blind bend	急彎	急弯
desert boot	沙漠靴	沙漠靴
king salmon	大鱗大麻哈魚	大鳞大麻哈鱼
lady chapel	聖母堂	圣母堂
dress whites	禮服白色	礼服白色
cannon ball	抱膝跳水	抱膝跳水
bull-snake	牛蛇	牛蛇
hot pad	鍋墊	锅垫
bull snake	牛蛇	牛蛇
straight arch	平拱	平拱
bean	豆子	豆子
gig	旋轉物	旋转物
collar cell	襟細胞	襟细胞
acoustic	聽覺的	听觉的
needle	針	针
soda pop	汽水	汽水
cocaine	可卡因	可卡因
fishing tackle	釣具	钓具
hydrogen	氫	氢
dale	小谷	小谷
torture chamber	刑訊室	刑讯室
press of sail	滿帆	满帆
cart	二輪運貨馬車	二轮运货马车
bicycle	腳踏車	自行车
cord	繩索	绳索
pond	池塘	池塘
jaw	顎	颚
archive	檔案館	档案馆
red admiral	赤蛺蝶	赤蛱蝶
standard gauge	標準量規	标准量规
rapid transit	高速鐵路交通	高速铁路交通
pepper bush	胡椒灌木	胡椒灌木
rear of barrel	桶後	桶后
painted leaf	畫葉	画叶
guide rope	導繩	导绳
convenience store	方便商店	方便商店
dogs-tooth check	狗齒檢查	狗齿检查
container ship	貨櫃船	货柜船
milk tooth	乳齒	乳齿
ski cap	滑雪帽	滑雪帽
capitol building	國會大廈	国会大厦
green goddess	綠色女神	绿色女神
southern arrow wood	南方箭頭木頭	南方箭头木头
vitamin p	維生素P	维生素P
disk drive	磁碟驅動器	磁盘驱动器
oxygen mask	氧氣面具	氧气面具
gas gauge	氣體壓力計	气体压力计
broadcasting station	廣播電臺	广播电台
toilet powder	爽身粉	爽身粉
gas helmet	防毒面具	防毒面具
pie shell	派皮	派皮
pressure gauge	壓力計	压力计
spirit lamp	酒精燈	酒精灯
surgical spirit	外科用酒精	外科用酒精
nut tree	堅果樹（尤指榛樹）	坚果树（尤指榛树）
railroad tunnel	鐵路隧道圖片	铁路隧道图片
cylinder head	缸碩	缸硕
ice shelf	冰架	冰架
shelf ice	陸架冰	陆架冰
sweat pants	長運動褲	长运动裤
treasure flower	勳章菊	勋章菊
trash barrel	位置放置垃圾桶	位置放置垃圾桶
go-cart	小人車	小人车
square nut	方螺帽	方螺帽
salmon oil	鮭魚油	鲑鱼油
observation tower	瞭望塔	瞭望塔
ski lift	滑雪	滑雪
drop arch	垂拱	垂拱
wood rabbit	木兔子	木兔子
dental plate	牙板	牙板
right whale	脊美鯨	脊美鲸
chin rest	（提琴面緣上的）腮托	（提琴面缘上的）腮托
organic compound	有機化合物	有机化合物
freight car	貨車	货车
fish ladder	魚梯（魚類透過水壩的通道）	鱼梯（鱼类通过水坝的通道）
pork-fish	豬肉魚	猪肉鱼
missile defence system	導彈防禦系統	导弹防御系统
sugar cookie	撒糖屑曲奇餅乾	撒糖屑曲奇饼干
shopping basket	購物筐	购物筐
dump truck	自動傾卸卡車	自动倾卸卡车
mixed bud	混合芽	混合芽
kentucky black bass	肯塔基黑鱸魚	肯塔基黑鲈鱼
lamp housing	燈室	灯室
lords-and-ladies	[植物]斑葉阿若母[亦作 cuckoopint]	[植物]斑叶阿若母[亦作 cuckoopint]
firing pin	撞針	撞针
smooth green snake	滑鱗綠樹蛇	滑鳞绿树蛇
bed of roses	溫床	温床
instrument of execution	執行工具	执行工具
writing pad	書寫紙	书写纸
safety arch	安全拱	安全拱
california box elder	加州長老	加州长老
pad of paper	金鑰的便箋	密钥的便笺
cattle trail	運畜拖車	运畜拖车
sheep pen	羊圈	羊圈
sun helmet	硬防曬帽	硬防晒帽
vacuum bomb	真空彈	真空弹
egyptian cotton	埃及棉	埃及棉
vitamin h	生物素	生物素
lemon cheese	檸檬醬	柠檬酱
fishing rod	釣魚桿	钓鱼桿
optical device	光學裝置	光学装置
junk shop	無用資料	无用数据
computing device	計算裝置	计算装置
measuring device	測量儀器	测量仪器
civic center	市中心	市中心
irish potato	白馬鈴薯	白马铃薯
elephant bird	隆鳥 （＝aepyornis）	隆鸟 （＝aepyornis）
widow bird	非洲鳳凰雀	非洲凤凰雀
roller bit	牙輪鑽頭	牙轮钻头
disk access	磁碟存取	磁盘存取
high-strength brass	高強度黃銅	高强度黄铜
liquid soap	液體皂	液体皂
fly tent	飛帳篷	飞帐篷
belly button	臍孔	脐孔
tent-fly	帳棚蓋	帐棚盖
table-mountain pine	辛松	辛松
rock salmon	<英>石鮭魚	<英>石鲑鱼
proving ground	試驗場	试验场
salmon river	鮭魚河	鲑鱼河
armor	盔甲	盔甲
berry	漿果	浆果
steak	牛排	牛排
portable	可攜帶的	可携带的
poker	戳的人	戳的人
paradise flower	天堂花	天堂花
silk hat	（帽身呈圓筒形的）大禮帽	（帽身呈圆筒形的）大礼帽
explosive	炸藥	炸药
ankle	踝	踝
liquor store	酒店	酒店
iron filing	鐵糠	铁糠
stable companion	同一馬廄的馬	同一马厩的马
desert rat	跳鼠	跳鼠
tree trunk	樹幹	树干
bitter principle	苦味成分	苦味成分
firing mechanism	擊發機構	击发机构
spinning top	陀螺	陀螺
bristol channel	（英）布里斯托爾海峽	（英）布里斯托尔海峡
ham and eggs	火腿蛋	火腿蛋
jump rope	[體]跳繩	[体]跳绳
clay pipe	陶士管	陶士管
hurricane roof	上層輕甲板	上层轻甲板
african green monkey	非洲綠猴	非洲绿猴
sauce albert	阿爾伯特醬	阿尔伯特酱
telegraph key	電報電鍵	电报电键
water hazard	障礙	障碍
water cart	賣水車	卖水车
carpet grass	凍結的草地	冻结的草地
white whale	白鯨	白鲸
message pad	留言本	留言本
white bean	澳洲臭椿	澳洲臭椿
mountain tent	登山帳篷	登山帐篷
hub-and-spoke	（空中交通）輻射狀的	（空中交通）辐射状的
vitamin g	核黃素	核黄素
power cord	功率繩	功率绳
stamp battery	連續重擊杵	连续重击杵
slave-maker	奴隸制	奴隶制
jumping mouse	（北美）林跳鼠(Zapodidae)	（北美）林跳鼠(Zapodidae)
fishing eagle	魚雕	鱼雕
crude oil	原油	原油
banana oil	乙酸戊酯	乙酸戊酯
road roller	壓路機	压路机
diesel fuel	柴油	柴油
taxi strip	滑行道	滑行道
vacuum bottle	熱水瓶	热水瓶
diesel-electric	內燃電力傳動的	内燃电力传动的
intermediate host	中間寄主[宿主]	中间寄主[宿主]
space probe	太空探索飛船	太空探索飞船
tobacco juice	煙液	烟液
electric lamp	電燈	电灯
black whale	【動物】黑巨頭鯨	【动物】黑巨头鲸
black bean	黑大豆	黑大豆
off-licence	賣酒執照	卖酒执照
lifting device	起閥裝置	起阀装置
jack ladder	索梯	索梯
mexican black cherry	墨西哥黑櫻桃	墨西哥黑樱桃
ace of clubs	巨型棍棒	巨型棍棒
bird nest	結渣	结渣
sketch map	草圖	草图
apple nut	蘋果堅果	苹果坚果
hug-me-tight	緊身短馬甲	紧身短马甲
red-backed mouse	紅背	红背
patent log	拖曳式計程儀	拖曳式计程仪
broken arch	缺口拱	缺口拱
oval office	美國總統辦公室	美国总统办公室
hunting crop	狩獵用的鞭	狩猎用的鞭
shoe polish	鞋油	鞋油
university of nebraska	內布拉斯加大學	内布拉斯加大学
stanford university	斯坦福大學	斯坦福大学
mining bee	礦蜂	矿蜂
princess pine	公主松	公主松
mercury cell	水銀電解槽	水银电解槽
derby hat	常禮帽	常礼帽
fairy bell	仙女之鈴	仙女之铃
solar array	太陽能電池陣	太阳能电池阵
high explosive	猛炸藥	猛炸药
air-intake	進氣孔	进气孔
bone-forming cell	成骨細胞	成骨细胞
wholesale house	批發商行	批发商行
giant reed	蘆竹	芦竹
tiger snake	虎蛇(澳洲的一種錦蛇屬毒蛇)	虎蛇(澳洲的一种锦蛇属毒蛇)
waste-paper basket	字紙簍	字纸篓
kidney stone	腎結石	肾结石
european wolf spider	歐洲狼蜘蛛	欧洲狼蜘蛛
outlet box	出線匣	出线匣
biology laboratory	生物實驗室	生物实验室
catherine wheel	輪轉煙火	轮转烟火
cylinder press	滾轉印刷機	滚转印刷机
couch grass	茅草	茅草
iron collar	鐵領階層	铁领阶层
ground roller	（水流的）底部旋滾	（水流的）底部旋滚
sweep-second	長秒針	长秒针
red sanders	紅木	红木
sales outlet	銷售渠道	销售渠道
malcolm stock	馬爾科姆股票	马尔科姆股票
artillery	火炮	火炮
cheek	頰	颊
pillow	枕頭	枕头
protective covering	防護罩	防护罩
curry	咖哩粉	咖哩粉
chen	陳	陈
fraction	小部分	小部分
marble	大理石	大理石
western yellow pine	美國西部黃松	美国西部黄松
toast	吐司	吐司
pee	(英)便士	(英)便士
cooler	冷卻器	冷却器
root crop	塊根農作物	块根农作物
waist	腰部	腰部
underwear	內衣	内衣
canyon	峽谷	峡谷
canvas	帆布	帆布
skirt	裙子	裙子
ski trail	滑雪路線	滑雪路线
structural gene	結構基因	结构基因
double chin	雙頦	双颏
automatic rifle	自動步槍	自动步枪
wrist band	袖口	袖口
phone cord	聽筒軟線	听筒软线
bubble shell	泡殼消除	泡壳消除
boston cream pie	波士頓奶油蛋糕(或夾層餅)	波士顿奶油蛋糕(或夹层饼)
ash-pan	灰盤	灰盘
wind gauge	風力計	风力计
vitamin k	維生素K	维生素K
celtic cross	凱爾特十字架（外圍為輪形	凯尔特十字架（外围为轮形
laundry truck	布草車	布草车
lemon-wood tree	檸檬木樹	柠檬木树
storage warehouse	另售貨機	另售货机
permanent tooth	固齒	固齿
expansion slot	擴充插槽	扩充插槽
beast of burden	馱畜	驮畜
surface gauge	劃針盤	划针盘
dog bent	狗彎曲	狗弯曲
fossil oil	石油	石油
victoria sandwich	維多利亞班蘭三文治蛋糕	维多利亚班兰三文治蛋糕
hub-and-spoke system	輻射狀交通系統	辐射状交通系统
easter egg	復活節彩色蛋	复活节彩色蛋
field bean	蠶豆	蚕豆
space needle	太空針塔	太空针塔
european roller	藍胸佛法僧	蓝胸佛法僧
black sally	黑色薩利	黑色萨利
barn door	擋光板	挡光板
leather soap	適用於光滑皮革	适用於光滑皮革
scout car	巡邏車	巡逻车
pt boat	魚雷快艇（等於patrol torpedo boat）	鱼雷快艇（等于patrol torpedo boat）
patent leather	漆革	漆革
bone-ash cup	骨灰杯	骨灰杯
arizona ash	亞歷桑那光臘樹	亚历桑那光腊树
arizona white oak	亞利桑那州櫟	亚利桑那州栎
pack tent	包帳篷	包帐篷
mediterranean sea	地中海	地中海
rabbit hole	兔子洞	兔子洞
sweep hand	（鐘錶的）長秒針	（钟表的）长秒针
storm lamp	風雨燈	风雨灯
active matrix screen	有源矩陣螢幕	有源矩阵屏幕
common bean	菜豆	菜豆
body armor	[防火]護身服	[防火]护身服
harvest fly	秋蟬	秋蝉
english bean	英文豆	英文豆
detention home	少年感化院	少年感化院
objective lens	[接]物鏡	[接]物镜
long pillow	長枕頭	长枕头
long underwear	長內衣	长内衣
drawing ink	繪圖墨水	绘图墨水
wild goat	野山羊	野山羊
deer trail	[美國] 迪爾特雷爾	[美国] 迪尔特雷尔
pepper root	胡椒根	胡椒根
telephone plug	電話插頭	电话插头
fairy circle	仙女環蘑菇	仙女环蘑菇
trap-door spider	活板門蛛[螲𪤅科(Ctenizidae)蜘蛛]	活板门蛛[螲𪤅科(Ctenizidae)蜘蛛]
slice bar	火鏟	火铲
boarding house	寄宿處	寄宿处
detention house	拘留所	拘留所
house of detention	看守所	看守所
portable saw	移動式圓鋸	移动式圆锯
duck sauce	組合名	组合名
low explosive	低(爆)速炸藥(其化學反應速度為亞音速)	低(爆)速炸药(其化学反应速度为亚音速)
timber tree	成材木	成材木
red-berry	紅莓	红莓
ink bottle	墨水瓶	墨水瓶
tea cloth	擦拭茶具用的抹布	擦拭茶具用的抹布
hudson bay	哈得遜灣（位於加拿大中東部）	哈得逊湾（位于加拿大中东部）
western sand cherry	沙櫻桃	沙樱桃
green bean	青刀豆	青刀豆
fisher cat	有機貓草	有机猫草
blue whale	藍鯨	蓝鲸
brown bent	棕色剪股穎	棕色剪股颖
plasma	血漿	血浆
purse	錢包	钱包
locker	抽屜	抽屉
square sail	橫帆	横帆
brake	剎車	刹车
binary	由兩部分組成的	由两部分组成的
pencil	鉛筆	铅笔
cab	計程車	出租车
sheet pile	板樁	板桩
pepper pot	辣味燉鍋	辣味炖锅
frost	霜	霜
eats	裝置準確度測試站（Equipment Accuracy Test Station）	设备准确度测试站（Equipment Accuracy Test Station）
cotton rat	棉鼠	棉鼠
depot	停車場	停车场
mainland	大陸	大陆
lily	百合	百合
synthetic	合成物質	合成物质
col	出口	出口
elevator	電梯	电梯
upper peninsula	密西根上半島	密西根上半岛
banana skin	香蕉皮	香蕉皮
purple bacteria	紫色細菌	紫色细菌
lower jaw	下頜	下颌
nerve tissue	神經組織	神经组织
full skirt	寬下襬女裙	宽下摆女裙
lake salmon	列氏紅點鮭	列氏红点鲑
cattle pen	牛欄	牛栏
fish slice	分魚刀	分鱼刀
crown beard	皇冠鬍子	皇冠胡子
heat-seeking missile	帶有熱尋彈頭的導彈	带有热寻弹头的导弹
whale oil	鯨油	鲸油
cord blood	臍帶血	脐带血
crown monkey	皇冠猴子	皇冠猴子
crown-beard	冠鬍子	冠胡子
optical crown	光學冕玻璃	光学冕玻璃
water cooler	水冷器	水冷器
motor lodge	<美>汽車遊客的旅館	<美>汽车游客的旅馆
gulf of thailand	泰國灣	泰国湾
bobby pin	髮夾	发夹
east indian fig tree	東印度無花果樹	东印度无花果树
jack salmon	〔動〕黃麻鱸	〔动〕黄麻鲈
disposal plant	（放射性廢物）處置裝置	（放射性废物）处置装置
mother-of-pearl cloud	珠母雲	珠母云
telegraph plant	舞草	舞草
french bean	菜豆	菜豆
diving dress	潛水服	潜水服
mechanical mixture	機械混合物	机械混合物
jungle gym	攀玩架	攀玩架
nail polish	指甲油	指甲油
european bean	歐洲豆	欧洲豆
betting shop	<英>彩票銷售點	<英>彩票销售点
blank shell	(滑膛槍	(滑膛枪
dried milk	奶粉	奶粉
bolt-hole	換氣孔	换气孔
health spa	減肥溫泉療養地	减肥温泉疗养地
freight train	運貨列車	运货列车
may lily	鈴蘭	铃兰
silver salmon	銀鮭	银鲑
arctic ocean	北冰洋	北冰洋
cave bat	穴蝠	穴蝠
day lily	萱草屬植物	萱草属植物
club steak	(腰頂端的)小牛排 [亦稱作 Delmonico	(腰顶端的)小牛排 [亦称作 Delmonico
prescription drug	須醫師處方才可買的藥品	须医师处方才可买的药品
corn chip	玉米片	玉米片
wild wheat	野生二粒小麥	野生二粒小麦
polar body	極體	极体
tire iron	拆輪胎棒	拆轮胎棒
sheet bend	魯班單扣	鲁班单扣
fitted sheet	四邊有鬆緊帶可包住床墊的床單	四边有松紧带可包住床垫的床单
rope yard		
ace of hearts	靈犬艾茜	灵犬艾茜
sailing ship	帆船	帆船
ottawa river	渥太華河	渥太华河
master cylinder	主缸	主缸
puppy fat	兒童和青少年時期暫時的肥胖	儿童和青少年时期暂时的肥胖
circular saw	輪鋸	轮锯
bicycle-built-for-two	為雙人的腳踏車組裝	为双人的自行车组装
banana tree	香蕉樹	香蕉树
georgia pine	喬治亞松	乔治亚松
buffalo grass	野牛草	野牛草
pepper mill	胡椒磨	胡椒磨
mountain goat	野生白山羊	野生白山羊
vital organ	生命器官	生命器官
cow pen	室外牛欄	室外牛栏
bo tree	菩提樹	菩提树
pepper grass	獨行菜	独行菜
house of correction	教養院	教养院
cart track	（路面不平的）小路	（路面不平的）小路
buzz bomb	噴射推進式炸彈	喷射推进式炸弹
ground-berry	【植】刺懸鉤子 (Rubus hispidus)	【植】刺悬钩子 (Rubus hispidus)
southern yellow pine	美國長葉松	美国长叶松
birth control pill	節育藥丸	节育药丸
dip switch	DIP開關	DIP开关
round steak	牛的後腿肉	牛的后腿肉
pocket lighter	腳踏車及零件	自行车及零件
barrier strip	阻擋帶	阻挡带
bacon strip	培根條	培根条
lily family	百合科	百合科
fuel gauge	燃油量表	燃油量表
upper cannon	上大炮	上大炮
flat tire	車胎爆了	车胎爆了
kick starter	腳踏起動器	脚踏起动器
flat arch	平拱	平拱
trunk route	（公路	（公路
ladder-back chair	梯背椅	梯背椅
sleeping accommodation	臥鋪容納量	卧铺容纳量
spotted bat	花尾蝠屬	花尾蝠属
pulse counter	脈衝計數器	脉冲计数器
motor inn	<美>汽車旅館	<美>汽车旅馆
new zealand white pine	紐西蘭白松	新西兰白松
speed bump	（橫置馬路上以防止車輛速度過快的）路面減速裝置	（横置马路上以防止车辆速度过快的）路面减速装置
wifi	基於IEEE 802.11b標準的無線區域網（Wireless Fidelity）	基于IEEE 802.11b标准的无线局域网（Wireless Fidelity）
gum	樹膠	树胶
cox	舵手	舵手
vegetable	蔬菜	蔬菜
cement	水泥	水泥
towel	手巾	手巾
generator	產生器	产生器
spice	香料	香料
chess	國際象棋	国际象棋
architectural plan	建築平面圖	建筑平面图
automobile	汽車	汽车
camping bus	露營巴士	露营巴士
lance	長矛	长矛
aggregate	合計	合计
lake geneva	日內瓦湖	日内瓦湖
grinding	刺耳的	刺耳的
idol	偶像	偶像
bell tent	鐘形帳篷	钟形帐篷
junction	連線	连接
modeling	模特兒職業	模特儿职业
brake system	制動系統	制动系统
angel shark	扁鯊	扁鲨
blue ridge mountains	藍嶺山脈	蓝岭山脉
rain gauge	雨量測量器	雨量测量器
lazy susan	（餐桌上盛食物便於取食的）圓轉盤	（餐桌上盛食物便于取食的）圆转盘
pencil case	鉛筆盒	铅笔盒
blood berry	血漿	血浆
toilet soap	香皂	香皂
water lily	睡蓮	睡莲
arctic fox	北極狐	北极狐
parking meter	停車記時器	停车记时器
hard-cooked egg	全熟水煮蛋	全熟水煮蛋
vacuum chamber	真空室	真空室
power brake	機動煞車	机动煞车
orange soda	橘子[橙子]汽水	橘子[橙子]汽水
bee killer	食蜂虻	食蜂虻
cream soda	加香草飲料	加香草饮料
fried rice	炒飯	炒饭
white lily	白百合	白百合
field artillery	野戰炮	野战炮
rainbow pink	五彩石竹	五彩石竹
opera hood	觀劇用的女頭巾	观剧用的女头巾
frozen orange juice	冷凍橙汁	冷冻橙汁
poison bush	含毒汁的紫龍骨豆或屬相近的齒莢豆屬的豆科植物	含毒汁的紫龙骨豆或属相近的齿荚豆属的豆科植物
workout suit	鍛鍊西服	锻炼西服
cotton strain	棉品系	棉品系
safety bicycle	安全腳踏車	安全脚踏车
diving suit	潛水服	潜水服
service elevator	<美>員工或送貨人使用的電梯	<美>员工或送货人使用的电梯
forest goat	森林山羊	森林山羊
japanese banana	芭蕉	芭蕉
cylinder block	缸體	缸体
heavy hydrogen	重氫	重氢
wing nut	翼形螺帽	翼形螺帽
wing-nut	【機】蝶形螺母	【机】蝶形螺母
elevator car	電梯車廂	电梯车厢
facial muscle	面肌	面肌
sand shark	許氏犁頭鰩	许氏犁头鳐
sea poker	海撲克	海扑克
candy corn	粟米糖	粟米糖
domestic goat	家山羊	家山羊
corn beef		
arrow grass	水毒冬屬植物	水毒冬属植物
collision course	碰撞航向	碰撞航向
cheese dip	乾酪蘸(在乾酪里加上調料製成)	干酪蘸(在干酪里加上调料制成)
b-complex vitamin	【生物化學】維生素 B 複合物[亦作 vitamin B complex]	【生物化学】维生素 B 复合物[亦作 vitamin B complex]
grey sea eagle	灰海鷹	灰海鹰
vitamin b complex	複合維生素B	复合维生素B
hand brake	手制動器	手制动器
food elevator	食品升降機	食品升降机
polar star	北極星	北极星
oregon oak	俄勒岡橡樹	俄勒冈橡树
ladder truck	雲梯消防車	云梯消防车
po box	郵政信箱（Post Office Box）	邮政信箱（Post Office Box）
recreation facility	遊憩設施	游憩设施
arm pad	椅子扶手上的小墊子	椅子扶手上的小垫子
locker room	衣帽間	衣帽间
wonder bean	奇蹟豆	奇迹豆
rubber bullet	（防暴用的）橡皮子彈	（防暴用的）橡皮子弹
pitch pine	北美脂松	北美脂松
motor fiber	運動纖維	运动纤维
press of canvas	滿帆前進	满帆前进
vertical tail	垂直尾翼	垂直尾翼
po river	波河	波河
old fashioned	古典雞尾酒	古典鸡尾酒
explosive charge	藥包	药包
rainbow shower	虹光花	虹光花
sleeping tablet	安眠藥片	安眠药片
monkey bread	猴麵包樹	猴面包树
log cabin	小木屋	小木屋
false vampire	假吸血（蝙）蝠[巨耳蝠科(Megadermatidae)和葉口蝠科(Phyllostomatidae)中大型食肉蝙蝠	假吸血（蝙）蝠[巨耳蝠科(Megadermatidae)和叶口蝠科(Phyllostomatidae)中大型食肉蝙蝠
destroying angel	劇毒白毒	剧毒白毒
indian bean	美國木豆樹	美国木豆树
turkish tobacco	土耳其菸草	土耳其烟草
gulf of alaska	阿拉斯加灣	阿拉斯加湾
wrist joint	橈腕關節	桡腕关节
tab key	（鍵盤上的）跳格鍵	（键盘上的）跳格键
red-spotted purple	紅色紫色	红色紫色
sydney harbor bridge	悉尼港大橋	悉尼港大桥
leg of lamb	羊腿	羊腿
water-lily family	水百合家庭	水百合家庭
spinning machine	紡紗機	纺纱机
dip circle	磁傾儀	磁倾仪
snow tire	<美>雪地防滑輪胎	<美>雪地防滑轮胎
broadcasting studio	廣播室	广播室
chad	查德	乍得
dial	刻度盤	刻度盘
spine	背骨	背骨
flame bush	火焰灌木	火焰灌木
butterfly	蝴蝶	蝴蝶
merchandise	商品	商品
cows	牛	牛
sanctuary	聖所(指教堂	圣所(指教堂
jar	廣口瓶	广口瓶
soundtrack	聲跡	声迹
ginger	姜	姜
deer grass	瑞克希阿(Trichophorum caespitosum)	瑞克希阿(Trichophorum caespitosum)
pistol	手槍	手枪
dressed ore	已選礦石	已选矿石
sleeve	袖子	袖子
brazil nut	巴西胡桃	巴西胡桃
fixed disk	硬碟	硬盘
exposure meter	曝射計	曝射计
spike oil	穗花油	穗花油
minute steak	速烹牛排	速烹牛排
wheat beer	小麥啤酒	小麦啤酒
bean plant	豆科植物	豆科植物
coat closet	存衣壁櫥	存衣壁橱
bundle of his	希斯氏束	希斯氏束
french toast	（美）法式吐司	（美）法式吐司
water gum	水紫樹(Nyssa biflora)	水紫树(Nyssa biflora)
snake palm	蛇掌	蛇掌
anchor chain	錨鏈	锚链
tire chain	防滑鏈	防滑链
portable computer	行動式計算機	便携式计算机
dried fruit	果脯	果脯
transit instrument	經緯儀	经纬仪
arrow-grass family	箭草家庭	箭草家庭
soda bottle	汽水瓶	汽水瓶
cargo vessel	貨輪	货轮
san juan mountains	聖胡安山脈	圣胡安山脉
launch pad	發射臺	发射台
bed pillow	床枕	床枕
mass rapid transit	大眾捷運系統	大众捷运系统
hurricane deck	上層輕甲板	上层轻甲板
black gum	黑桉樹	黑桉树
face towel	毛巾	毛巾
telephone booth	電話亭	电话亭
gray sea eagle	灰海鷹	灰海鹰
pin oak	針櫟	针栎
worker bee	工蜂	工蜂
very pistol	【海】維利式訊號手槍	【海】维利式信号手枪
coffee bean	咖啡豆	咖啡豆
t-junction	T形結合	T形结合
lead pencil	（石墨）鉛筆	（石墨）铅笔
salt pork	醃豬肉	腌猪肉
pin cherry	歐洲酸櫻桃	欧洲酸樱桃
rifle butt	槍托攻擊	枪托攻击
pencil lead	筆心	笔心
soft wheat	軟質小麥	软质小麦
diesel motor	柴油引擎	柴油引擎
binary star	雙子星	双子星
prescription medicine	處方藥	处方药
silent butler	“啞僕”（一種有蓋帶柄器具	“哑仆”（一种有盖带柄器具
cooling tower	冷卻塔	冷却塔
hand towel	手巾	手巾
red-hot poker	劍葉蘭	剑叶兰
bean tree	紅豆	红豆
vegetable matter	植物性物質	植物性物质
electric outlet	電源插座	电源插座
long sleeve	長袖	长袖
nurse shark	沙錐齒鯊	沙锥齿鲨
lemon butter	檸檬黃[奶]油	柠檬黄[奶]油
garden roller	園藝用鎮壓器	园艺用镇压器
oregon white oak	俄州櫟	俄州栎
alpha bronze	阿伐青銅	阿伐青铜
oregon ash	奧勒岡的植物	奥勒冈的植物
witch grass	茅草	茅草
stamp mill	搗臼	捣臼
pilot lamp	指示燈	指示灯
silk grass	針茅	针茅
chinese puzzle	中國智力玩具	中国智力玩具
fresh bean	嫩刀豆	嫩刀豆
christmas berry	夏威夷皇家有機聖誕莓	夏威夷皇家有机圣诞莓
banana boat	香蕉船（化妝品名）	香蕉船（化妆品名）
red gum	桉樹(有時也指蘇合香	桉树(有时也指苏合香
ginger family	姜科(Zingiberaceae)	姜科(Zingiberaceae)
soap-weed	肥皂雜草	肥皂杂草
horse barn	馬棚	马棚
fish steak	魚排	鱼排
rocket salad	芝麻菜	芝麻菜
bicycle seat	車座	车座
jack bean	刀豆	刀豆
expansion bolt	引縮螺栓	引缩螺栓
continental breakfast	歐式早餐	欧式早餐
poker plant	撲克廠	扑克厂
male berry	男性漿果	男性浆果
deaf-aid	助聽器	助听器
guide fossil	標準化石	标准化石
heroin	海洛因	海洛因
telephone receiver	收話器	收话器
wax	蠟	蜡
pasta	義大利麵食	意大利面食
sensor	感測器	传感器
steering system	轉向系統	转向系统
lounge	閒逛	闲逛
debris	碎片	碎片
blood plasma	血漿	血浆
wide-angle lens	寬角透鏡	宽角透镜
pill bottle	藥瓶	药瓶
sculpture	雕刻	雕刻
nova	新星	新星
airplane	飛機	飞机
sun-ray lamp	太陽光燈	太阳光灯
runway	跑道	跑道
blood lily	網球花	网球花
garlic	大蒜	大蒜
elephant ear	耳形凸緣	耳形凸缘
spotted black bass	斑黑鱸	斑黑鲈
